,acc,val_acc,loss,val_loss
0,0.7345454692840576,0.8339999914169312,0.7411789894104004,0.4734964966773987
1,0.8399817943572998,0.8669999837875366,0.4466785788536072,0.3845459818840027
2,0.8623272776603699,0.8812000155448914,0.3816538453102112,0.3444327712059021
3,0.8745636343955994,0.8736000061035156,0.34667548537254333,0.34234535694122314
4,0.8839636445045471,0.8867999911308289,0.3209129571914673,0.31747129559516907
5,0.8910363912582397,0.8948000073432922,0.30041778087615967,0.29278504848480225
6,0.8966181874275208,0.8880000114440918,0.2853146195411682,0.3039928078651428
7,0.9010182023048401,0.9010000228881836,0.27156051993370056,0.27454689145088196
8,0.9055454730987549,0.8998000025749207,0.2594754695892334,0.27166539430618286
9,0.9082363843917847,0.8935999870300293,0.2495836615562439,0.2823182940483093
10,0.9114909172058105,0.90420001745224,0.24131380021572113,0.25704261660575867
11,0.9143999814987183,0.9061999917030334,0.23135486245155334,0.2634061872959137
12,0.9179454445838928,0.8916000127792358,0.22327372431755066,0.290670782327652
13,0.9203090667724609,0.9111999869346619,0.21517077088356018,0.25310853123664856
14,0.923127293586731,0.9097999930381775,0.2081652134656906,0.25332918763160706
15,0.9263454675674438,0.9120000004768372,0.20179346203804016,0.24610888957977295
16,0.9286545515060425,0.9138000011444092,0.1933182328939438,0.2478611022233963
17,0.9308000206947327,0.906000018119812,0.1871986836194992,0.2577023506164551
18,0.9323636293411255,0.9151999950408936,0.1821082979440689,0.23826393485069275
19,0.9351090788841248,0.9114000201225281,0.17638471722602844,0.24039219319820404
